Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Eenergy label,Position,Garden,Estimated neighbourhood price per m2
Wonge 30,Warmenhuizen,€ 395.000,156 m²,124 m²,1985,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,875
Castertstraat 5,Ell,€ 635.000,2.956 m²,268 m²,1790,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag en een zolder,E,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin en zijtuin",355
Hendrik Werkmanhof 14,Veendam,€ 475.000,489 m²,156 m²,1999,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin",2.070
Merel 3,Bedum,€ 275.000,284 m²,80 m²,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",7.660
Blauwe Slenk 8,Harlingen,€ 675.000,551 m²,184 m²,2007,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Tuin rondom,7.265
Grevelingenhout 37,Bruinisse,€ 800.000,952 m²,167 m²,1993,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Aan park, aan rustige weg, aan water, beschutte ligging, in bosrijke omgeving en vrij uitzicht",Tuin rondom,410
Raadhuisplein 17,Rijen,€ 325.000,322 m²,132 m²,1962,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,E,In woonwijk,Achtertuin en voortuin,€ 2.967
Jean Monnetstraat 232,Heemskerk,€ 425.000,219 m²,115 m²,1969,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,1.140
Rogstraat 37,Herpen,€ 375.000,640 m²,80 m²,1973,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,Aan drukke weg en in centrum,"Achtertuin, voortuin en zijtuin",2.380
Deurningerstraat 86,Enschede,€ 429.000,61 m²,117 m²,2020,Bestaande bouw,"Eengezinswoning, geschakelde woning (drive-in woning)",Plat dak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan drukke weg, in centrum en in woonwijk",,1.740
Noordbargerstraat 36,Emmen,€ 425.000,621 m²,143 m²,1936,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in centrum,Achtertuin en voortuin,1.080
Esdoornlaan 15,Castricum,€ 530.000,257 m²,143 m²,1982,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.985
Bergstraat 4,Neede,€ 345.000,352 m²,125 m²,1906,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak,6 kamers (3 slaapkamers),2 badkamers,2 woonlagen,G,In centrum,Achtertuin,465
Spindermolen 9,Hardinxveld-Giessendam,€ 350.000,190 m²,122 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.017
Aggelenstraat 9,De Rijp,€ 350.000,180 m²,105 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.060
Lipperkerkstraat 116,Enschede,€ 285.000,147 m²,116 m²,1903,Bestaande bouw,"Herenhuis, verspringend",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin,5.715
Touwslagersbaan 99,Gendringen,€ 209.000,145 m²,101 m²,1975,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.725
Madeliefstraat 8,Doetinchem,€ 379.000,240 m²,132 m²,2008,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin,2.780
Janbaas 35,Nieuwendijk,€ 525.000,224 m²,142 m²,2017,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Tuin rondom,3.580
De Steenzager 45,Veldhoven,€ 350.000,167 m²,137 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin en voortuin,2.745
Mesdaghof 1,Nijkerk,€ 494.000,286 m²,133 m²,1981,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.535
Veentien 7,Meppel,€ 290.000,159 m²,95 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.380
Zalmstraat 8,Heerewaarden,€ 292.500,234 m²,110 m²,1970,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.065
Botterlaan 32,Zaandam,€ 450.000,156 m²,126 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,5.400
Gastakker 69,Breda,€ 450.000,251 m²,118 m²,1973,Bestaande bouw,"Bungalow, geschakelde woning (patiowoning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,Aan rustige weg en in woonwijk,Patio/atrium,5.155
Gastakker 69,Breda,€ 450.000,251 m²,118 m²,1973,Bestaande bouw,"Bungalow, geschakelde woning (patiowoning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,Aan rustige weg en in woonwijk,Patio/atrium,5.155
Park Oosterspaarn 27,Haarlem,€ 775.000,259 m²,156 m²,1995,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en patio/atrium,1.465
Lisztgaarde 300,Oss,€ 725.000,975 m²,218 m²,1973,Bestaande bouw,"Herenhuis, vrijstaande woning",Plat dak,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een kelder,C,,"Achtertuin, voortuin en zijtuin",915
Lemmenslaan 65,Eindhoven,€ 315.000,144 m²,95 m²,1950,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.385
Ien Dalessingel 104,Zutphen,€ 575.000,395 m²,180 m²,1999,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met overig,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom, voortuin, zijtuin en zonneterras",2.805
Brochestraat 3,Almere,€ 450.000,210 m²,111 m²,2005,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak,4 kamers (3 slaapkamers),1 badkamer,1 woonlaag,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Patio/atrium,1.050
Leefdaelhof 3,Waalwijk,€ 315.000,108 m²,98 m²,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,3.890
Oranjestraat 71,Ridderkerk,€ 425.000,244 m²,108 m²,1937,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.130
Zeemansstraat 11,Zaandam,€ 475.000,113 m²,106 m²,1939,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan rustige weg en in centrum,Achtertuin en zijtuin,4.260
Kruburg 4,Eindhoven,€ 375.000,143 m²,137 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin,2.675
Merkendal 8,Arnhem,€ 595.000,593 m²,134 m²,1962,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Tuin rondom,1.050
18 novemberring 130,Panningen,€ 475.000,508 m²,146 m²,1991,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,10 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",B,In woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",6.820
De Driestal 28,Heiloo,€ 450.000,185 m²,114 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,3.255
Javastraat 5,Roermond,€ 249.000,158 m²,104 m²,1977,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,In woonwijk,Achtertuin,2.310
Haagakker 16,Rijsbergen,€ 342.000,208 m²,121 m²,1984,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.280
Gebroeders Daelstraat 25,Venlo,€ 315.000,110 m²,108 m²,1990,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.930
Bouwheerstraat 45,Barneveld,€ 599.000,320 m²,110 m²,1968,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,In centrum,Tuin rondom,1.695
Korte Wijden 19,Elburg,€ 350.000,239 m²,104 m²,1964,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",3.045
Tholenstraat 13,Kampen,€ 279.500,112 m²,91 m²,1935,Bestaande bouw,"Eengezinswoning, hoekwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin,2.420
Burgemeester v Raaijstr 18,Beers,€ 359.000,366 m²,142 m²,1968,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in centrum,Achtertuin en voortuin,1.285
Bisschop Zwijsenplein 27,Vught,€ 469.500,154 m²,143 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,3.180
Prinsenweg 13,Elst (UT),€ 675.000,605 m²,111 m²,1938,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.825
Marijkelaan 15,Bergen (NH),€ 1.190.000,703 m²,177 m²,2007,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en vrij uitzicht",Tuin rondom,1.445
Baai 71,Lelystad,€ 289.500,168 m²,130 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,3.340
De Koolmees 50,Vriezenveen,€ 270.000,217 m²,109 m²,1979,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In woonwijk,Achtertuin en voortuin,€ 2.326
Middenstraat 70,Woudenberg,€ 475.000,276 m²,104 m²,1890,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,,,2.090
Willem van Gulikstraat 4,Arnhem,€ 810.000,295 m²,181 m²,1955,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een kelder,C,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",1.185
Emmaweg 54,Maarssen,€ 649.000,197 m²,165 m²,1905,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers,3 woonlagen en een kelder,C,"Aan rustige weg, beschutte ligging en in centrum",Achtertuin en zijtuin,960
Zwarteweg 9 a,Oosterwolde (GE),€ 550.000,699 m²,132 m²,1887,Bestaande bouw,"Woonboerderij, halfvrijstaande woning",Zadeldak bedekt met riet,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Beschutte ligging, in centrum en landelijk gelegen","Achtertuin, voortuin en zijtuin",1.045
Tasmanstraat 19,IJmuiden,€ 389.000,110 m²,122 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.580
Boven Wijde 11,Almere,€ 275.000,125 m²,70 m²,1983,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin,7.390
Lage Wei 16,Harderwijk,€ 335.000,133 m²,111 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin,1.505
Koningskinderen 23,Eindhoven,€ 350.000,140 m²,100 m²,1993,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.235
Piershilstraat 12,Zoetermeer,€ 475.000,137 m²,129 m²,2003,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,16.005
Slimtocht 24,Berkhout,€ 895.000,435 m²,207 m²,2020,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,Aan water,"Achtertuin, voortuin en zijtuin",415
Groot Heiligland 38,Haarlem,€ 1.250.000,93 m²,180 m²,1722,Bestaande bouw,"Herenhuis, hoekwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,5 woonlagen en een kelder,Niet verplicht,Aan rustige weg en in centrum,Patio/atrium,1.430
Spaarnestraat 110,Amersfoort,€ 525.000,179 m²,108 m²,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.245
Linge 5,Deurne,€ 395.000,265 m²,170 m²,,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,4.055
Turfsingel 70,Gouda,€ 585.000,116 m²,164 m²,1875,Bestaande bouw,"Grachtenpand, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met metaal,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een vliering,Niet verplicht,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin,6.115
Schopenhauerstraat 145,Apeldoorn,€ 339.500,173 m²,138 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.920
Vlonderkamp 4,Noordwijkerhout,€ 425.000,127 m²,99 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin,€ 3.674
Haydnstraat 43,Vlaardingen,€ 325.000,122 m²,136 m²,1936,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,G,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.255
Klein Paradijs 4,Beekbergen,€ 1.395.000,9.770 m²,237 m²,1971,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,11 kamers (8 slaapkamers),3 badkamers en 2 aparte toiletten,2 woonlagen,C,In bosrijke omgeving en landelijk gelegen,Tuin rondom,1.470
Larixstraat 24,Utrecht,€ 475.000,84 m²,93 m²,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin,5.315
Zetveld 28,Peize,€ 375.000,284 m²,135 m²,1985,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,4.390
Damastberg 178,Roosendaal,€ 275.000,136 m²,97 m²,1990,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,2.785
Bootstraat 38,Etten-Leur,€ 250.000,181 m²,77 m²,1953,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,E,In woonwijk,Achtertuin en voortuin,705
Granaat 4,Zoetermeer,€ 390.000,119 m²,97 m²,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een vliering,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,12.510
Mgr. van de Weteringstraat 5,Utrecht,€ 990.000,112 m²,159 m²,1885,Bestaande bouw,"Herenhuis, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin,4.665
Anton Mauvestraat 19,Leeuwarden,€ 190.000,158 m²,104 m²,1935,Bestaande bouw,"Eengezinswoning, eindwoning",Dwarskap bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,In woonwijk,Achtertuin en voortuin,1.580
Helmgras 4,Monster,€ 495.000,123 m²,132 m²,1998,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.610
Bogardeind 88,Geldrop,€ 375.000,250 m²,123 m²,1925,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,,Achtertuin,2.030
Vervoornstraat 120,Putten,€ 485.000,240 m²,121 m²,1971,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg,Achtertuin en voortuin,6.280
Rubrum 11,Akersloot,€ 450.000,129 m²,120 m²,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.410
Schokker 22,Zeewolde,€ 350.000,184 m²,118 m²,1989,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,3.550
De Wieken 3,Beek en Donk,€ 300.000,132 m²,122 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin,5.395
Minister Loudonlaan 68,Enschede,€ 250.000,141 m²,93 m²,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.895
Kastanjelaan 31,Driebruggen,€ 330.000,120 m²,92 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin,€ 3.253
Mariëndaal 69,Enschede,€ 369.000,282 m²,130 m²,1995,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",4.360
Prins Bernhardlaan 1,Zutphen,€ 325.000,106 m²,122 m²,,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,In woonwijk,Achtertuin,1.715
Dr. Schaepmanlaan 5,Veghel,€ 400.000,409 m²,130 m²,1974,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.350
Vestdijkgaarde 15,Deventer,€ 340.000,127 m²,126 m²,1974,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,D,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.720
Martinus Nijhofflaan 20,Kloetinge (Gem. Goes),€ 495.000,407 m²,123 m²,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.710
Hessenweg 371,Achterveld (UT),€ 875.000,890 m²,142 m²,1997,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,2.000
Het Schip 125,Apeldoorn,€ 575.000,312 m²,191 m²,1995,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",6.095
