Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Eenergy label,Position,Garden,Estimated neighbourhood price per m2
Traverse 6,Hellevoetsluis,€ 850.000,826 m²,172 m²,1980,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in woonwijk,Tuin rondom,375
Zijlvest 51,Haarlem,€ 1.198.000,95 m²,226 m²,2021,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In centrum,,3.080
Vogelenzang 13,Sliedrecht,€ 495.000,570 m²,110 m²,1966,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,In woonwijk,Tuin rondom,1.735
Tarwedreef 76,Doetinchem,€ 385.000,227 m²,117 m²,,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin,2.135
Don Rualaan 81,'s-Heerenberg,€ 250.000,152 m²,103 m²,1997,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder met vliering,B,In bosrijke omgeving en in woonwijk,Achtertuin en voortuin,4.850
Van der Valk Boumanweg 228,Leiderdorp,€ 1.100.000,584 m²,165 m²,1924,Bestaande bouw,"Villa, vrijstaande woning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (6 slaapkamers),1 badkamer,3 woonlagen,C,"Aan vaarwater, in woonwijk en vrij uitzicht",Achtertuin en voortuin,965
Ericasestraat 25,Erica,€ 475.000,1.710 m²,139 m²,1936,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Buiten bebouwde kom, landelijk gelegen en open ligging",Tuin rondom,190
W. de Vries Robbéweg 46,Gorinchem,€ 350.000,195 m²,110 m²,1919,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin en voortuin,2.805
Stationsstraat 35,Roosendaal,€ 495.000,250 m²,195 m²,1936,Bestaande bouw,"Herenhuis, tussenwoning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,D,Aan drukke weg en in centrum,Achtertuin,1.005
Albertina van Nassaustraat 30,Eindhoven,€ 650.000,133 m²,139 m²,2021,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+++,In centrum en in woonwijk,Achtertuin,3.160
Torenstraat 17,Nijkerk,€ 575.000,190 m²,137 m²,2018,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In centrum,"Achtertuin, voortuin en zijtuin",955
Hofmeesterij 58,Huissen,€ 595.000,337 m²,173 m²,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin,6.105
Padakker 63,Breda,€ 550.000,264 m²,146 m²,1985,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin,4.730
Egelzoom 8,Pijnacker,€ 435.000,105 m²,110 m²,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,2.260
Weteringkade 34,Noordwijk (ZH),€ 339.000,90 m²,78 m²,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,"Aan rustige weg, aan water en vrij uitzicht",Achtertuin,€ 4.706
