Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Hasseltstraat 66 .,Tilburg,€ 369.000,130 m²,133 m²,1905,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met kunststof en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+,Aan rustige weg en in woonwijk,Achtertuin,6.995
Snakkerbuorren 8,Rotstergaast,€ 499.000,650 m²,143 m²,1890,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en beschutte ligging,Tuin rondom,190
Ten Harmsenstraat 11,Alphen aan den Rijn,€ 399.000,153 m²,91 m²,1938,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",1.735
Generaal Winkelmanstraat 39,Soesterberg,€ 575.000,260 m²,122 m²,,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, in bosrijke omgeving, in centrum en vrij uitzicht","Achtertuin, voortuin en zijtuin",3.640
Jordaanstroom 37,Zoetermeer,€ 439.500,106 m²,130 m²,2004,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk,Achtertuin,16.005
Spoorpad 27,Baarle-Nassau,€ 674.000,543 m²,189 m²,1986,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer,2 woonlagen,C,,Tuin rondom,985
Oude Vaart 35,Terneuzen,€ 225.000,193 m²,145 m²,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.195
Kastanjelaan 58,Hasselt,€ 315.000,73 m²,115 m²,1898,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,4 woonlagen,D,"Aan rustige weg, aan water en in centrum",Achtertuin,1.065
Valkenswaardseweg 11,Leende,€ 649.000,810 m²,202 m²,,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,E,Aan drukke weg en beschutte ligging,"Achtertuin, voortuin en zijtuin",3.560
Burgemeester van Nienesstraat 1 A + B,Uitgeest,€ 450.000,140 m²,88 m²,1850,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.455
