Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Lange Bedde 50,Breda,€ 425.000,126 m²,111 m²,1960,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,3.850
Fagotstraat 4,Duiven,€ 400.000,255 m²,124 m²,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, in woonwijk en open ligging","Achtertuin, voortuin en zijtuin",3.165
P.C. Hooftstraat 20,Zoetermeer,€ 350.000,139 m²,90 m²,1960,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.970
Boommarterstraat 39,Heijen,€ 425.000,200 m²,145 m²,1990,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Samengesteld dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,A,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom en voortuin",1.570
Achter de Molen 28,Etten-Leur,€ 435.000,896 m²,107 m²,1959,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,In woonwijk,Achtertuin en voortuin,565
Zeelsterstraat 194,Eindhoven,€ 425.000,189 m²,128 m²,1929,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,F,In woonwijk,Achtertuin,3.930
Roerdomp 7,Breda,€ 459.000,235 m²,139 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.970
Dominee Bleekerhof 27,Abcoude,€ 1.200.000,562 m²,140 m²,1974,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",4.565
Kruisweg 33,Bergen (NH),€ 1.050.000,572 m²,183 m²,1930,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, beschutte ligging en in bosrijke omgeving",Tuin rondom,985
Deutzhof 59,Assendelft,€ 450.000,236 m²,112 m²,1998,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan vaarwater en in woonwijk,Achtertuin en voortuin,6.190
Fluitenbergseweg 72 a,Fluitenberg,€ 475.000,1.029 m²,275 m²,1972,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag en een zolder,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en zijtuin,420
Kalmoesberg 34,Roosendaal,€ 278.000,121 m²,86 m²,1995,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.745
